eng_text,ksl_text
 That alliance has many benefits,BENEFIT MANY ALLIANCE THAT HAVE
 Our God is almighty,GOD OUR ALMIGHTY
 That was an almighty crash,CRASH THAT ALMIGHTY
 Many admired our almighty win,ALMIGHTY WIN OUR MANY ADMIRE FINISH
 You are not almighty ,YOU ALMIGHTY NOTHING
 That party was almighty,PAST PARTY ALMIGHTY
 I walked slowly along the road,ROAD ALONG SLOW ME WALK
 David is looking along the corridor,CORRIDOR ALONG DAVID LOOK
 The flowers are growing along the river,RIVER ALONG FLOWER FLOWER GROW
 Our house is along the street ,STREET ALONG HOUSE OUR THERE
 Please sing along with us ,PLEASE US ALONG SING
     She seems to alternate between hating him and loving him,BOY THAT HATE SAME LOVE GIRL THAT ALTERNATE
     The alternate angles are equal,ANGLE ALTERNATE THOSE EQUAL
     He alternated periods of work with periods of rest,MAN THAT WORK SAME REST PERIOD ALTERNATE
     Why do you alternate between schools,SCHOOL DIFFERENT YOU ALTERNATE WHY
     Although she was tired she stayed up late ,GIRL THAT LATE SLEEP ALTHOGH TIRED
     I love cats although I don’t have any,CAT ME HAVE NOTHING ALTHOUGH LOVE
     The students did not pass although they were taught well,STUDENT STUDENT TEACH WELL FINISH ALTHOUGH PASS NOTHING
     The visitors came although it was raining,VISITOR VISITOR COME FINISH ALTHOUGH RAIN THERE
     I don’t love dogs although I have them ,DOG DOG ME LOVE NOTHING ALTHOUGH HAVE
 I am amazed by your behavior,BEHAVIOUR YOUR ME AMAZE
 I am amazed by your change of behavior,BEHAVIOUR CHANGE YOUR ME AMAZE
 We are amazed by your attitude,ATTITUDE YOUR WE AMAZE
 The teacher was amazed to discover the truth,TRUTH DISCOVER TEACHER AMAZE
 I am amazed that you didn’t know him ,BOY THAT YOU KNOW NOTHING ME AMAZE
 God bless you Amen,YOU GOD BLESS AMEN
 Amen to that,THATAMEN
 He did not say Amen after the prayer,AFTER PRAYER FINISHAMEN BOY THAT SAY NOTHING
 Please say Amen,AMEN SAY PLEASE
 God is good Amen ,GOD GOOD TRUE AMEN
 I have made a few amendments to the document,DOCUMENT THAT AMMENDMENT FEW MAKE FINISH
     Please make amendments on section three,SECTION THREE AMANDMENT MAKE PLEASE
     The bill was passed without amendments,PAST BILL THAT PASS AMENDMENT NOTHING
     The amendments gave women the right to vote,WOMENAMENDMENT THAT VOTE RIGHT GIVE
     Our constitution needs a lot of amendments,AMENDMENT A LOT CONSTITUTION OUR NEED
     I feel nervous when I am among strangers,WHEN PEOPLE STRANGE ME AMONGNERVOUS FEEL
     Who among you is missing,AMONG YOU MISS WHO
     I found the missing ball among the tables,TABLE TABLE AMONG BALL MISS FIND
     Please divide the mangoes among the children,CHILDREN AMONG MANGO DIVIDE PLEASE
 Discuss the topic among yourselves,YOURSELVES AMONG TOPIC DISCUSS
 Do you know the anatomy of a frog,FROG ANATOMY YOU KNOW
 The human anatomy is interesting,ANATOMY HUMAN INTERESTING
 You must know your anatomy well,ANATOMY YOUR KNOW WELL MUST
 Can you draw the anatomy of a bird,BIRD ANATOMY DRAW POSSIBLE
 The bishop will anoint the pastor,FUTURE PASTOR BISHOP ANOINT
 That oil will be used to anoint the preacher,PREACHER ANOINTOIL THAT USE
 The pastor will not anoint you today,TODAY YOU PASTOR ANOINT NOTHING
 How can I anoint you,YOU ME ANOINT HOW
 Your clock is moving anticlockwise,ANTICLOCKWISE CLOCK YOUR MOVE
 Rotate the angle anticlockwise,ANGLE THAT ANTICLOCKWISE ROTATE
 The river is flowing anticlockwise,RIVER THAT ANTICLOCKWISE FLOW
     We are drawing anticlockwise rotations,ROTATION ANTICLOCKWISE WE DRAW
     It’s too late now anyway,NOW LATE  ANYWAY
     I don’t want to go to the party and anyway I haven’t got any money,PARTY GO WANT NOTHINGANYWAY MONEY HAVE NOTHING
     I don’t want to eat and anyway I haven’t got any food ,EAT WANT NOTHINGANYWAY FOOD ZERO
     Anyway that’s enough about my problems,ANYWAYABOUT PROBLEM MINETHAT ENOUGH
     The bus appears from the corner,ALWAYS CORNER THERE BUS APPEAR
     Everything appears normal,EVERYTHING NORMAL APPEAR
     The group appears every Monday,MONDAY ALWAYS GROUP THAT APPEAR
 He appears on TV every evening,ALWAYS EVENING TV BOY THAT APPEAR
 The lawyer appears in court every Thursday,ALWAYS THURSDAY COURT LAWYER APPEAR
 My work was approved yesterday,YESTERDAY WORK MINE APPROVE FINISH
 Who approved this work,WORK THIS APPROVE WHO
 Your work has not been approved,WORK YOUR APPROVE BADO
 The approximate time of arrival is three o’clock ,TIME THREE APPROXIMATE TIME ARRIVAL
 I can give you an approximate idea of the cost,COST IDEA APPROXIMATE ME GIVE CAN
 The total cost will approximate I billion,COST THAT  BILLION APPROXIMATE
 Please approximate the total cost,COST ALL APPROXIMATE PLEASE
 How will she approximate the distance,DISTANCE GIRL THAT APPROXIMATE HOW
 I will come in April,APRIL ME COME
 The school will close in April,APRIL SCHOOL CLOSE
     This April is cold,APRIL THISCOLD
     You must clean that apron,APRON THAT CLEAN MUST
     She has a beautiful apron,APRON BEAUTIFUL GIRL THAT HAVE
     Buy a new apron,APRON NEW BUY
     My father is an Arab,FATHER MINE ARAB
     Call that Arab,ARAB THAT CALL
     Most Arab people have businesses,ARAB MANY BUSINESS HAVE
     Many Arabs live here,PLACE THIS ARAB MANY LIVE
 Our country has many Arabs ,ARAB MANY COUNTRY OUR HAVE
 That circle has an arc,CIRCLE THAT ARC HAVE
 Please draw an arc,ARC DRAW PLEASE
 That is not an arc,THATARC NOTHING
 Erase that arc,ARC THAT EARSE
 Can you see the arc,ARC SEE POSSIBLE
 The archives have old documents,DOCUMENT OLD ARCHIVE HAVE
 Those archives have a lot of materials,MATERIAL A LOT ARCHIVE THOSE HAVE
 When will we visit the archives,ARCHIVE WE VISIT WHEN
 More archives will be built soon,SOON ARCHIVE MORE BUILD
 Our Country’s history is found in the archives,ARCHIVE THERE HISTORY COUNTRY OUR FIND
 My arm is long,ARM MINE LONG
     Please shave your armpit,ARMPIT YOUR SHAVE PLEASE
     Your armpit is smelly,ARMPIT YOUR SMELL
     Why are you hiding your armpit,ARMPIT YOU HIDE WHY
     Show me your armpit,ARMPIT YOUR SHOW
     We have two armpits,ARMPIT TWO HAVE
     Kenya has a strong army,ARMY STRONG KENYA HAVE
     I will work in the army in future,ME FUTURE ARMY WORK
     The story will arouse your curiosity,CURIOSITY YOUR STORY THAT AROUSE CAN
 That drink will arouse me,DRINK THAT AROUSE ME CAN
 We must make arrangement for the party,PARTY ARRANGEMENT WE MAKE MUST
 His funeral arrangement is today,TODAYFUNERAL ARRANGEMENT BOY THAT HAPPEN
 The bank has made an arrangement with the customer,CUSTOMER BANK ARRANGEMENT BOTH MAKE FINISH
 That is a great arrangement,ARRANGEMENT THAT GREAT
 That flower arrangement is beautiful,FLOWER ARRANGEMENT THAT BEAUTIFUL
 An arrest will be made today,TODAY ARREST HAPPEN
 Who will arrest him,BOY THAT ARREST WHO
 Please don’t arrest my father,FATHER MINE ARREST NOTHING PLEASE
 How will they arrive to that place,PLACE THAT THEY ARRIVE HOW
 She will arrive tomorrow,TOMORROW GIRL THAT ARRIVE
 Bring an arrow,ARROW BRING
     I need an arrow,ARROW ME NEED
     Show me an arrow,ARROW SHOW
     Shoot an arrow,ARROW SHOOT
     I can’t eat an arrowroot,ARROWROOT EAT IMPOSSIBLE
     Are you cooking arrowroot,ARROWROOT YOU COOK
     I hate arrowroot,ARROWROOT ME HATE
     Do you love arrowroot,ARROWROOT YOU LOVE
     Buy some arrowroot,ARROWROOT SOME BUY
 I love art,ART ME LOVE
 My best subject is art,ARTSUBJECT MINE BEST
 That picture is a beautiful art,PICTURE THATART BEAUTIFUL TRUE
 I am reading a newspaper article,ARTICLE NEWSPAPER ME READ
 That is an interesting article,ARTICLE THATINTERESTING
 He wrote that article,ARTICLE THAT BOY THAT WRITE
 I will write an article tomorrow,TOMORROW ARTICLE WRITE
 Where is your article,ARTICLE YOUR WHERE
 That is an artificial limb,LIMB THIS ARTIFICIAL
 Why do you like artificial food,FOOD ARTIFICIAL YOU LIKE WHY
 His voice is artificial,BOY THATVOICE ARTIFICIAL
 My fertilizer is artificial,FERTILIZER MINE ARTIFICIAL
     I am an artist,ME ARTIST
     Joe is a solo artist,JOE ARTIST SOLO
     That artist has excellent drawings,DRAWING EXCELLENT ARTIST HAVE
     Ascension day will be soon,SOON ASCENSION DAY
     Will you be there during ascension,TIME ASCENSION YOU THERE
     I am waiting for ascension,ASCENSION ME WAIT
     We are learning about ascension,NOW ASCENSION WE LEARN
     Ascension day will be special,FUTURE DAY ASCENSION SPECIAL
 Today is ash day,TODAY ASH DAY
 Ash day is a holy day,ASH DAYHOLY
 Many Catholics love ash day,ASH DAY CATHOLIC LOVE
 I will come during ash day,ASH DAY ME COME
 Aspirin is bitter,ASPIRIN BITTER
 Please buy some aspirin,ASPIRIN SOME BUY PLEASE
 You need aspirin,ASPIRIN YOU NEED
 The doctor gave me aspirin,ASPIRIN DOCTOR GIVE
 Have you seen my aspirin,ASPIRIN MINE SEE FINISH
 She assess the damage at ,DAMAGE  GIRL THAT ASSESS
 It’s still early to assess the price increment ,NOW EARLY PRICE INCREASE ASSESS
 Assess and report the risks ,ASSESS SAME RISK REPORT
     Who will assess the students today,TODAY STUDENT STUDENT ASSESS WHO
     The teacher must assess your son ,SON YOUR TEACHER ASSESS MUST
     My brother is an athlete,BROTHER MINE ATHLETE
     He has an athletic body,BODY BOY THAT ATHLETIC
     She no longer has an athletic body,NOW GIRL THAT BODY ATHLETIC ZERO
     I am working hard to become athletic,NOW ME WORK HARD ATHLETIC BECOME
     Those exercises will make her athletic,GIRL THAT EXERCISE THOSE ATHLETIC MAKE
     That object can cause an accident ,OBJECT THAT ACCIDENT CAUSE POSSIBLE
 The teacher has set the class objective ,OBJECTIVE CLASS TEACHER SET FINISH
 The objective of the company is to make profit,COMPANY OBJECTIVE PROFIT MAKE
 we should achieve our  objective,OBJECTIVE OUR  ACHIEVE MUST
 Observe your ways,WAY WAY YOUR OBSERVE
 Observe  all the football rules,RULE RULE FOOTBALL ALL OBSERVE
 President ZOMA came to observe the election,ELECTION OBSERVE ZOMA PRESIDENT COME
 The obstacle cause accident,ACCIDENT OBSTACLE CAUSE
 This is an obstacle to my life,LIFE MINE THIS OBSTACLE
 The police help us to remove the obstacle,OBSTACLE REMOVE POLICE HELP
 The obstacle holds the machine,MACHINE OBSTACLE HOLD
 It is difficult to destroy this obstacle,OBSTACLE THIS DESTORY DIFFICULT
  I Obtain good result in kcse,KCSE RESULT GOOD ME OBTAIN
 I must obtain that book,BOOK THAT ME OBTAIN MUST
 Rudisha obtain his gold medal,MEDAL GOLD RUDISHA OBTAIN
 Where did you obtain this information,INFORMATION THIS YOU GET WHERE
 Iam happy I obtain the teaching methods,ME HAPPY METHOD TEACH ME OBTAIN
 This occupation is boring ,OCCUPATION THIS BORE
 Teaching is a good occupation,OCCUPATION TEACH GOOD
 I love my occupation,ME OCCUPATION MINE LOVE
 To get good occupation you need to learn more,LEARN A LOT NEEDOCCUPATION GOOD GET
 His book is occupied,BOOK HIS OCCUPIED
 The cylinder is full occupied with gas,CYLINDER GAS OCCUPIED FULL
 The school field is occupied,SCHOOL FIELD OCCUPIED FINISH
 Occupy that place,PLACE THAT OCCOPY
 The Gen Z have occupied the parliament,PARLIAMENT GEN Z OCCUPY
 The visitors have occupied the room,ROOM VISITOR OCCUPY
 The demonstrator have occupy the market,MARKET DEMONSTRATOR OCCUPY
 My teacher went to the ocean,TEACHER MINE OCEAN GO FINISH
 October is my best month,OCTOBER MONTH BEST MINE 
 My lecturer will report to school in October,OCTOBER SCHOOL LECTURER MINE REPORT
 This month is October,OCTOBER THIS MONTH
Circumcision will happen in October,OCTOBER CIRCUMCISION HAPPEN
She refuse the offer,OFFER GIRL THAT RERFUSE
We use the offering to help the orphan,ORPHAN HELP OFFERING WE USE
It is not good to eat the offering,OFFERING EAT GOOD NOTHING
Faithful people give more offering,OFFERING A LOT PEOPLE FAITHFUL GIVE
We keep offering in the church,OFFERING CHURCH WE KEEP
Offering is different from other contributions,CONTRIBUTION CONTRIBUTION OTHER OFFERING DIFFERENT
I eat fish often,FISH OFTEN EAT
I know you meet often,OFTEN YOU MEET ME KNOW
How do you often meet ,MEET OFTEN HOW
I fear watching ogre movie,MOVIE OGRE ME FEAR WATCH
Ogre stories are interesting,STORY STORY OGRE INTEREST
Ogre story is not real,STORY OGRE REALY NOTHING
My sister and I enjoy reading ogre story,SISTER MINEME STORY OGRE READ ENJOY
Omena has a lot of nutrients,NUTRIENT NUTRIENT A LOT OMENA HAVE
Omena is used to eat ugali,UGALI EAT OMENA USE
Omena are small fish,FISH SMALL OMENA
Omena are sold by many people,PEOPLE MANY OMENA SELL
Paris hosted the olympics this year,YEAR THIS OLYMPICS PARIS HOST
Korir went to this year olympics,YEAR THIS KORIR OLYMPICS GO
Next olympics will be held in America,FUTURE AMERICA OLYMPICS NEXT HOLD
We should introduce olympic sport in collage,OLYMPIC SPORT COLLEGE INTRODUCE MUST
Call for me Tori an olympic gold medalist,TORI  MEDALIST GOLD OWNER CALL
The threetime olympic medalist was found dead,TIMETHREE MEDALIST OLYMPIC DEAD FOUND
The  olympic was good, GOOD OLYMPIC FINISH
She is fearless when it comes to public speaking,PUBLIC SPEAK SHE FEAR NOTHING
His fearless attitude inspired everyone around him,ATTITUDE HIS FEAR NOTHING PEOPLE ALL INSPIRE
Being fearless helps him take on new challenges,FEAR NOTHING CHALLENGE NEW TAKE HELP
The fearless leader faced the danger headon,LEADER THAT FEAR NOTHINGCHALLENGE DIRECT FACE
They admired her fearless approach to solving problems,APPROACH GIRL THAT FEAR NOTHING TIME PROBLEM SOLVE THEY ADMIRE
The birds feather was bright and colorful,BIRD FEATHER BRIGHT COLORFULPAST FEATHER BIRD BRIGHT SAME COLOUR A LOT HAVE
She found a feather on the ground,PAST GROUND THEREFEATHER GIRL THAT FIND
Feathers are often used in decorations,OFTEN DECORATION FEATHER USE
He gently touched the feather to feel its softness,BOY THAT FEATHER GENTLY TOUCHSOFT FEEL
The pillow is filled with soft feathers,PILLOW THAT  FEATHER SOFT FULL
The new phone has many exciting features,FEATURE EXCITE PHONE NEW HAVE
She highlighted the main features of the design,DESIGN THAT FEATURE MAIN GIRL THAT HIGHLIGHT
One key feature of the car is its advanced safety system,CAR THAT FEATURE KEY WHATADVANCE SAFE SYSTEM
The app’s features make it very userfriendly,FEATURE APP USER FRIENDLY MAKE
They discussed the unique features of the new building,BUILDING THAT FEATURE UNIQUE THEY DISCUSS FINISH
The federation of tribes aims to promote unity,TRIBE TRIBE FEDERATION UNITY PROMOTE AIM
The federation of tribes organizes cultural festivals,FESTIVAL CULTURE TRIBE TRIBE FEDERATION ORGANIZE
Members of the federation work together for common goals,GOAL SAME FEDERATION MEMBER WORK
The federation of tribes provides support and resources,SUPPORT SAME RESOURCE TRIBE TRIBE FEDERATION PROVIDE
She joined the federation of tribes to strengthen community ties,TRIBE TRIBE FEDERATION SHE JOIN WHYCOMMUNITY RELATIONSHIP STRONG MAKE
The feedback from the tribe was very positive,PAST TRIBE FEEDBACK POSITIVE
She collected feedback from the tribe about the new policy,TRIBE FEEDBACK GIRL THAT COLLECT WHICHPOLICY NEW
The leader reviewed the tribes feedback carefully,TRIBE FEEDBACK CAREFUL CAREFUL LEADER REVIEW
Feedback from the tribe helped improve the program,TRIBE FEEDBACK PROGRAM IMPROVE HELP
They discussed the tribes feedback in the meeting,MEETING THERETRIBE FEEDBACK THEY DISCUSS
I enjoy doing farm work every weekend,ALWAYS WEEKEND ME FARMWORK ENJOY 
The farm work is very hard but it is rewarding,FARMWORK HARD BUT REWARD A LOT 
Farm work starts early in the morning,EARLY MORNING FARMWORK BEGIN
We need more workers to help with the farm work,WORKER MORE NEED FARMWORK HELP 
She is learning how to do farm work from her parents,PARENT HER GIRL THAT FARMWORK DO HOW LEARN
Fashion trends change every season,SEASON EACH FASHION CHANGE
She loves to follow the latest fashion,LATEST FASHION SHE LOVE FOLLOW
The fashion show was a huge success,PAST FASHION SHOW SUCCESS HUGE
He has a unique sense of fashion,BOY THAT FASHION UNIQUE HAVE
Fashion is an important part of culture,CULTURE PART IMPORTANT WHATFASHION
The car is moving very fast,FAST FAST CAR MOVE
She runs fast in the race,FAST RACE SHE RUN
Time goes by fast when you are having fun,WHEN YOU ENJOY FAST TIME GO
He finished his homework fast,BOY THAT HOMEWORK  FAST FINISH
The internet connection is extremely fast, INTERNET CONNECT FAST FAST
The train moves at a fast speed,FAST FAST TRAIN MOVE 
He typed the report at fast speed,REPORT BOY THAT FAST FAST TYPE
Fast speed is crucial for winning the race,FAST SPEED IMPORTANT RACE WIN
She drove the car at fast speed on the highway,CAR HIGHWAY SHE DRIVE FAST FAST
The athlete maintained a fast speed throughout the marathon,MARATHON ATHLETE FAST SPEED MAINTAIN 
Please fasten your seatbelt before the flight,BEFORE FLIGHT PLEASE SEATBELT FASTEN
He will fasten the rope to the tree,TREE ROPE HIM  FASTEN
She needs to fasten her coat because it’s cold outside,OUTSIDE COLD  COAT  FASTEN SHE NEED
They fasten the door to keep it secure,DOOR THAT FASTEN WHY SECURE KEEEP
He forgot to fasten his shoelaces before running,BOY THAT SHOE LACE FASTEN FORGET BEFORE RUN START
She is fasting during the holy month,HOLY MONTH SHE FAST
Fasting helps to cleanse the body,BODY CLEANSE FASTING HELP
He began fasting at sunrise,SUNRISE HE FASTING START
They practice fasting as part of their religion,FASTING RELIGION THEIR PRACTICE
Fasting requires strong willpower,STRONG WILLPOWER FASTING REQUIRE 
     Eating too much junk food can make you fat,TOO MUCH JUNK EAT FAT BECOME
     He prefers lowfat milk in his coffee,LOWFAT MILK COFFEE HIM PREFER
     The doctor advised him to reduce his fat intake,FAT INTAKE REDUCE  DOCTOR ADVISE
     Some people struggle to lose fat,FAT LOSE PEOPLE SOME STRUGGLE
     She avoids foods high in fat,FOOD FAT A LOT GIRL THAT AVOID
     The accident was fatal for the driver,DRIVER THAT ACCIDENT FATAL 
     A fatal mistake can have serious consequences,CONSEQUENCES SERIOUS FATAL MISTAKE CAUSE
     The disease can be fatal if not treated,IF TREAT NOTHINGDESEASE THAT FATAL CAN
     He survived the fatal attack,PAST ATTACK FATAL BOY THAT SURVIVE
 My father loves to watch football,MY FATHER LOVE WATCH FOOTBALL
 She called her father for advice,SHE CALL FATHER FOR ADVICE
 His father works in a big company,HIS FATHER WORK BIG COMPANY
 Father and son went fishing together,FATHER SON GO FISHING TOGETHER
 The father taught his children to be respectful,FATHER TEACH CHILDREN BE RESPECTFUL
 The Father led the church service today,TODAY CHURCH SERVICE FATHER LEAD
 She asked the Father for a blessing,GIRL THAT FATHER BLESSINGS ASK
 The Father is known for his kind heart,KIND HEART FATHER KNOW FOR
 Father gave a sermon on forgiveness,ON FORGIVENESS FATHER SERMON GAVE
 They met with the Father to discuss their wedding,THEM MEET FATHER WHY WEDDING THEIRS DISCUSS
 My fatherinlaw is coming to visit us this weekend,WEEKEND THIS FATHERINLAW VISIT 
     She asked her fatherinlaw for advice on the project,GIRL THAT FATHERINLAW PROJECT ADVICE ASK
     The fatherinlaw gave a heartfelt speech at the wedding,WEDDING THAT  FATHERINLAW SPEECH GREAT GIVE
     He has a good relationship with his fatherinlaw,BOY THATFATHERINLAW RELATIONSHIP GOOD HAVE
     Fatherinlaw helped with the house repairs,PAST HOUSE REPAIR FATHERINLAW HELP
     Can you do me a favor and help with this task,TASK HELP POSSIBLE
     He asked a big favor from his friend,BOY THAT FAVOUR  BIG FRIEND ASK
     She returned the favor by inviting them to dinner,GIRL THAT  FAVOR RETURN HOW DINNER THEM  INVITE
     The manager granted him extra time off,BOY THAT TIME EXTRA OFF MANAGER ALLOW
     Doing favors for others can build strong relationship ,TIME OTHER OTHER FAVOUR DORELATIONSHIP STRONG BUILD
 Favorism is often seen in management decisions,OFTEN MANAGEMENT DECISION THERE FAVOUR SEE
 He criticized the favoritism in the promotion  process,PAST PROMOTION PROCESS FAVOUR BOY THAT CRITICIZE 
 Favorism can create unfair advantages in the workplace,FAVORISM WORKPLACE THERE UNFAIR ADVANTAGE CAUSE CAN
 She was accused of favorism for always choosing her friends,GIRL THAT FAVOURISM ACCUSE WHYALWAYS FRIEND HER CHOOSE
 Addressing favorism is important for a fair work,FAVOURISM CHALLENGE SOLVE IMPORTANT WHYFAIR WORK CREATE
 My favorite color is blue,FAVORITE COLOR MINE BLUE
 She always picks her favorite book to read,ALWAYS GIRL THAT TIME READ WANTBOOK FAVOURITE PICK
 His favorite food is pizza,BOY THAT FOOD FAVORITE PIZZA
 They went to his favorite restaurant for dinner,PAST RESTAURANT FAVOURITE HIS THEY GO WHYDINNER WANT
 Her favorite hobby is painting,GIRL THAT  FAVORITE HOBBY PAINT
 I need to send a fax to the office,OFFICE FAX SEND ME WANT
     The fax machine is out of paper,FAX MACHINE PAPER FINISH
     He received a fax with the important documents,PAST BOY THAT FAX RECEIVEDOCUMENT IMPORTANT HAVE
     She sent the report by fax yesterday,YESTERDAY REPORT GIRL THAT SEND FAX USE
     The fax was delayed due to technical issues,FAX DELAY WHYISSUE TECHNICAL HAVE
     The farmer manages the livestocks faeces carefully,LIVESTOCK FAECES CAREFUL FARMER MANAGE
     Proper disposal of faeces is important for hygiene ,FAECES DISPOSE WELL IMPORTANT WHYHYGIENE THERE
     They collected feces for composting in the garden,PAST FECES THEY COLLECT GARDEN THERE COMPOST
     Feaces should be cleaned up immediately to prevent odors,FAECES CLEAN IMMEDIATELY WHYSMELL BAD PREVENT
     The vet examined the animals feces for signs of illness,FAECES ANIMAL VET EXAMINEDISEASE LOOK
    Do you take eucharist,    EUCHARIST YOU EAT
    We will have eucharist on Sunday,    SUNDAYEUCHARIST WE HAVE
    The altar boy is carrying the eucharist,    ALTAR BOY EUCHARIST CARRY
    Europe has white people,    EUROPEWHTE PEOPLE HAVE
    He travelled to Europe,    HEEUROPE TRAVEL FINISH
    Europe is cold today,    TODAYEUROPE COLD
    Europe is very developed,    EUROPE DEVELOPED A LOT
    Education in Europe is expensive,    EUROPE THERE EDUCATION EXPENSIVE
    Evaluate the cost of that cloth,    CLOTH THAT COST EVALUATE
 We will evaluate the material gathered, WE MATERIAL GATHER EVALUATE
 Can you evaluate the number of words, YOU WORD WORD NUMBER EVALUATE POSSIBLE
 He can evaluate my performance, MAN THAT PERFORMANCE MINE EVALUATE POSSIBLE
 I want to evangelize Christ, I WANT CHRIST EVANGELIZE
 They came to evangelize Jesus, JESUS THEY COME EVANGELIZE
 I want to evangelize this project, PROJECT THIS ME WANT EVANGELIZE
 Can your behavior evangelize Jesus , BEHAVIOR YOUR JESUS EVANGELIZE POSSIBLE
 We want to evangelize our company, COMPANY OURWE WANT EVANGELIZE
 Eve was the first woman in the world, EVE WOMAN FIRST WORLD
 Eve was Adam’s wife, EVE ADAM WIFE
 I was born in the Christmas eve, CHRISTMAS EVE ME BORN
     Eve ate the forbidden fruit,     FRIUT FORBIDDEN EVE EAT FINISH
     Eve saw God’s face,     PASTGOD FACE EVE SEE
     I will attend the celebration event,     CELERATION EVENT ME ATTEND
     Life in heaven is everlasting,     HEAVEN THERE LIFE EVERLASTING
     Our God is everlasting,     GOD OUR EVERLASTING
     An everlasting life has no end,     LIFE EVERLASTING END NOTHING
     The government wants to evict us from this land,     LAND THIS GOVERNMENT WANT US EVICT
     The police will evict the demonstrators,     DOMONSTRATOR DOMONSTRATOR THOSE POLICE EVICT
     Please evict the rude boy from school,     BOY RUDE SCHOOL EVICT
 The boss will evict you from this job, YOU JOB THIS BOSS EVICT
 The court wants an evidence, COURT EVIDENCE WANT
 Do you have the evidence, EVIDENCE YOU HAVE
 There is no evidence, EVIDENCE HAVE ZERO
 The girl has an evil thought, GIRL THAT THOUGHT EVIL HAVE
 His actions are evil, ACT ACT HIS EVIL
 Don’t practice evil, EVIL PRACTISE NOTHING
 Your words are evil, WORD WORD YOUR EVIL
 My hair will evolve into grey color, HAIR MINE COLOR GREY EVOLVE
 Monkeys will evolve into human beings, FUTUREMONKEY HUMAN DEVELOP
 I think cats evolve from cheetahs, ME THINK CHEETAH CHJEETAHCAT CAT EVOLVE
     Why does smoke evolve from that house,    HOUSE THAT SMOKE EOLVE WHY
     The doctor wants to do some examination,    DOCTOR EXAMINATION SOME WANT DO
     Give me an example of a fruit,    FRUIT EXAMPLE ME GIVE
     A lion is an example of a wild animal,    LIONWILD ANIMAL EXAMPLE
     The teacher showed us an example of the mathematics,    MATHEMATICS THAT TEACH PERSOJNM EXAMPLE SHOW FINISH
     Ruto is an example for many to follow,    RUTO EXAMPLE PEOPLE MANY FOLLLOW
     I want to exchange my shoes,    SHOES MINE ME WANT EXCHANGE
     We had a long exchange with the manager,    MANGER MINEEXCHANGE LONG WE HAVE
